Province,Program Stream,Employer,PostalCode,Occupation,Incorporate Status,Approved LMIAs,Approved Positions
Prince Edward Island                                                       ,High Wage          ,VALLEY HOLDINGS LTD,"CHARLOTTETOWN, PE C1A 1P2",10012-Purchasing managers,Unknown,1,1
Prince Edward Island                                                       ,Low Wage            ,101407 pei inc,"Summerside, PE C1N 1B2",60030-Restaurant and food service managers,Unknown,1,1
Prince Edward Island                                                       ,Low Wage            ,101407 pei inc,"Summerside, PE C1N 1B2",62020-Food service supervisors,Unknown,1,1
Prince Edward Island                                                       ,Low Wage            ,101407 pei inc,"Summerside, PE C1N 1B2",63200-Cooks,Unknown,2,2
Prince Edward Island                                                       ,Low Wage            ,ACADIAN SUPREME INC.,"Wellington, PE C0B 2E0",94142-Fish and seafood plant workers,Unknown,1,23
Prince Edward Island                                                       ,Low Wage            ,Anne of Green Gables Chocolates Inc.,"Charlottetown, PE C1E 2E2",95106-Labourers in food and beverage processing,Unknown,1,2
Prince Edward Island                                                       ,Low Wage            ,Atlantic Aqua Farms,"Orwell Cove, PE C0A 2E0",85102-Aquaculture and marine harvest labourers,Unknown,1,13
Prince Edward Island                                                       ,Low Wage            ,Bill and Stanley Oyster Company Inc.,"Orwell Cove, PE C0A 2E0",95107-Labourers in fish and seafood processing,Unknown,1,10
Prince Edward Island                                                       ,Low Wage            ,Coastal Culture,"Charlottetown, PE C1A 4B5",64100-Retail salespersons and visual merchandisers,Unknown,1,1
Prince Edward Island                                                       ,Low Wage            ,Delta Foods Ltd.,"Summerside, PE C1N 4K6",63200-Cooks,Unknown,1,1
Prince Edward Island                                                       ,Low Wage            ,DRM COMPANY LTD.,"Charlottetown, PE C1A 4N2","65201-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,5
Prince Edward Island                                                       ,Low Wage            ,Gulf Island Peat Moss,"COLEMAN, PE C0B 1H0","95109-Other labourers in processing, manufacturing and utilities",Unknown,1,20
Prince Edward Island                                                       ,Low Wage            ,Humble Consultancy and Recruitment Services Inc.,"CHARLOTTETOWN, PE C1A 1N3",13110-Administrative assistants,Unknown,1,1
Prince Edward Island                                                       ,Low Wage            ,Islandsand Holdings Incorporated,"Cornwall, PE C0A 1H0",62020-Food service supervisors,Unknown,1,1
Prince Edward Island                                                       ,Low Wage            ,Islandsand Holdings Incorporated,"Cornwall, PE C0A 1H0","65201-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,1
Prince Edward Island                                                       ,Low Wage            ,JMK fish mart inc,"summerside, PE C1N 0A6",94142-Fish and seafood plant workers,Unknown,1,10
Prince Edward Island                                                       ,Low Wage            ,L&S Marketing (2006) Ltd.,"Tignish, PE C0B 2B0",95107-Labourers in fish and seafood processing,Unknown,1,6
Prince Edward Island                                                       ,Low Wage            ,Maritime Select Lobster Inc.,"Alberton, PE C0B 1B0",95107-Labourers in fish and seafood processing,Unknown,1,6
Prince Edward Island                                                       ,Low Wage            ,North Lake Fisheries (2013) Inc.,"Montague, PE C0A 1R0",94142-Fish and seafood plant workers,Unknown,2,95
Prince Edward Island                                                       ,Low Wage            ,PEI MUSSEL FARMS INC,"MORELL, PE C0A 1S0",84121-Fishing vessel deckhands,Unknown,1,12
Prince Edward Island                                                       ,Low Wage            ,Phillips Bridge Seafood ULC,"Borden-Carleton, PE C0B 1X0",94142-Fish and seafood plant workers,Unknown,1,158
Prince Edward Island                                                       ,Low Wage            ,Royal Star Foods Ltd,"Tignish, PE C0B 2B0",94142-Fish and seafood plant workers,Unknown,1,42
Prince Edward Island                                                       ,Low Wage            ,Steerman's Quality Meats Inc.,"Vernon Bridge, PE C0A 2E0",95106-Labourers in food and beverage processing,Unknown,1,2
Prince Edward Island                                                       ,Low Wage            ,W & R Fisheries Ltd,"GEORGETOWN, PE C0A 1L0",85102-Aquaculture and marine harvest labourers,Unknown,1,2
Prince Edward Island                                                       ,Primary Agriculture  ,6219128 Canada Inc,"Montague, PE C0A 1R0",84120-Specialized livestock workers and farm machinery operators,Unknown,1,2
Prince Edward Island                                                       ,Primary Agriculture  ,7035233 Canada Inc.,"Mount Stewart, PE C0A 1T0",84120-Specialized livestock workers and farm machinery operators,Unknown,1,2
Prince Edward Island                                                       ,Primary Agriculture  ,Atlantic Grown Organics Inc,"Spring Valley, PE C0B 1M0",85103-Nursery and greenhouse labourers,Unknown,2,10
Prince Edward Island                                                       ,Primary Agriculture  ,Bedeque Farms Ltd.,"Albany, PE C0B 1A0",84120-Specialized livestock workers and farm machinery operators,Unknown,1,1
Prince Edward Island                                                       ,Primary Agriculture  ,Birch Farms Ltd.,"Summerside, PE C1N 4J9",84120-Specialized livestock workers and farm machinery operators,Unknown,2,3
Prince Edward Island                                                       ,Primary Agriculture  ,Birch Farms Ltd.,"Summerside, PE C1N 4J9",85101-Harvesting labourers,Unknown,1,14
Prince Edward Island                                                       ,Primary Agriculture  ,Brookfield Gardens Inc,"Brookfield, PE C0A 1Y0",85101-Harvesting labourers,Unknown,2,19
Prince Edward Island                                                       ,Primary Agriculture  ,Dalmeny Farms,"Montague, PE C0A 1R0",85101-Harvesting labourers,Unknown,1,2
Prince Edward Island                                                       ,Primary Agriculture  ,Eastern Exporters Limited,"Souris, PE C0A 2B0",85101-Harvesting labourers,Unknown,1,1
Prince Edward Island                                                       ,Primary Agriculture  ,Eastern Farms Ltd,"Pownal, PE C1B 3S5",85101-Harvesting labourers,Unknown,1,7
Prince Edward Island                                                       ,Primary Agriculture  ,Frizzells Valleyville Farm Inc,"Hunter River, PE C0A 1N0",82030-Agricultural service contractors and farm supervisors,Unknown,1,2
Prince Edward Island                                                       ,Primary Agriculture  ,Frizzells Valleyville Farm Inc,"Hunter River, PE C0A 1N0",84120-Specialized livestock workers and farm machinery operators,Unknown,1,2
Prince Edward Island                                                       ,Primary Agriculture  ,G Visser & Sons Inc.,"Vernon Bridge, PE C0A 2E0",85101-Harvesting labourers,Unknown,4,9
Prince Edward Island                                                       ,Primary Agriculture  ,Hakkers Produce Inc,"BELFAST, PE C0A 1A0",85101-Harvesting labourers,Unknown,1,1
Prince Edward Island                                                       ,Primary Agriculture  ,Havenlee Farms Inc.,"Summerside, PE C1N 4J9",84120-Specialized livestock workers and farm machinery operators,Unknown,2,2
Prince Edward Island                                                       ,Primary Agriculture  ,Indian River Farms,"Indian River, PE C0B 1M0",85101-Harvesting labourers,Unknown,1,4
Prince Edward Island                                                       ,Primary Agriculture  ,Island Seed Farm Inc.,"Kinkora, PE C0B 1N0",85101-Harvesting labourers,Unknown,1,1
Prince Edward Island                                                       ,Primary Agriculture  ,Jewell's Country Market Inc.,"Marshfield (York), PE C1C 0S6",85103-Nursery and greenhouse labourers,Unknown,1,1
Prince Edward Island                                                       ,Primary Agriculture  ,Linkletter Farms Ltd,"Summerside, PE C1N 5N2",85101-Harvesting labourers,Unknown,1,4
Prince Edward Island                                                       ,Primary Agriculture  ,McCardle Bros,"Kinkora, PE C0B 1N0",85101-Harvesting labourers,Unknown,1,3
Prince Edward Island                                                       ,Primary Agriculture  ,MGS Holdings & Distribution Ltd.,"Alberton, PE C0B 1B0",85101-Harvesting labourers,Unknown,2,23
Prince Edward Island                                                       ,Primary Agriculture  ,Middleton Farms Ltd,"Kinkora, PE C0B 1N0",84120-Specialized livestock workers and farm machinery operators,Unknown,1,2
Prince Edward Island                                                       ,Primary Agriculture  ,Mol Farms Inc.,"Kinkora, PE C0B 1N0",85101-Harvesting labourers,Unknown,2,4
Prince Edward Island                                                       ,Primary Agriculture  ,Port Hill Milking Company,"Tyne Valley, PE C0B 2C0",82030-Agricultural service contractors and farm supervisors,Unknown,1,1
Prince Edward Island                                                       ,Primary Agriculture  ,Pure Pork Genetics Ltd.,"Montague, PE C0A 1R0",85100-Livestock labourers,Unknown,1,3
Prince Edward Island                                                       ,Primary Agriculture  ,Red Shore Orchards Inc,"Charlottetown, PE C1E 2A9",85101-Harvesting labourers,Unknown,1,5
Prince Edward Island                                                       ,Primary Agriculture  ,Spring Valley Farms Ltd,"Spring Valley, PE C0B 1M0",84120-Specialized livestock workers and farm machinery operators,Unknown,2,2
Prince Edward Island                                                       ,Primary Agriculture  ,Valley Grove Enterprises Ltd,"Kensington, PE C0B 1M0",85101-Harvesting labourers,Unknown,1,2
Prince Edward Island                                                       ,Primary Agriculture  ,Vanco Farms Ltd.,"Mount Albion, PE C1B 0R4",85101-Harvesting labourers,Unknown,2,22
Prince Edward Island                                                       ,Primary Agriculture  ,Verdant LLC,"Cardigan, PE C0A 1G0",85101-Harvesting labourers,Unknown,1,6
Prince Edward Island                                                       ,Primary Agriculture  ,W E cousins ltd.,"Kensington, PE C0B 1M0",84120-Specialized livestock workers and farm machinery operators,Unknown,1,2
Prince Edward Island                                                       ,Primary Agriculture  ,W.P.  Griffin Inc.,"Elmsdale, PE C0B 1K0",84120-Specialized livestock workers and farm machinery operators,Unknown,1,1
Prince Edward Island                                                       ,Primary Agriculture  ,W.P.  Griffin Inc.,"Elmsdale, PE C0B 1K0",85101-Harvesting labourers,Unknown,1,2
Prince Edward Island                                                       ,Primary Agriculture  ,Weeksdale Holstein INC,"Breadalbane, PE C0A 1E0",85100-Livestock labourers,Unknown,1,2
Nova Scotia                                                                ,Global Talent Stream  ,1000163449 ONTARIO INC.,"Yarmouth, NS B5A 1N1",21231-Software engineers and designers,Unknown,1,1
Nova Scotia                                                                ,Global Talent Stream  ,Capstone Project Solutions Inc.,"Dartmouth, NS B3A 4S5",21221-Business system specialists,Unknown,1,1
Nova Scotia                                                                ,Global Talent Stream  ,Irving Shipbuilding Inc,"Halifax, NS B3K 5M7","00015-Senior managers - construction, transportation, production and utilities",Unknown,1,1
Nova Scotia                                                                ,Global Talent Stream  ,Maritime Digital Art and Design ltd,"Halifax, NS B3J 1G5",21232-Software developers and programmers,Unknown,1,1
Nova Scotia                                                                ,Global Talent Stream  ,Supercity Office Systems Incorporated,"Dartmouth, NS B3B 1W7",21222-Information systems specialists,Unknown,1,1
Nova Scotia                                                                ,Global Talent Stream  ,"TAKE-TWO INTERACTIVE CANADA, INC.","Halifax, NS B3L 2C2",21231-Software engineers and designers,Unknown,1,1
Nova Scotia                                                                ,Global Talent Stream  ,"TAKE-TWO INTERACTIVE CANADA, INC.","Halifax, NS B3L 2C2",52120-Graphic designers and illustrators,Unknown,1,1
Nova Scotia                                                                ,High Wage          ,11497235 Canada Inc.,"Sydney, NS B1S 1A8","62022-Accommodation, travel, tourism and related services supervisors",Unknown,1,1
Nova Scotia                                                                ,High Wage          ,11565087 Canada Inc./Travelodge Suites New Glasgow,"New Glasgow, NS B2H 2J8","62022-Accommodation, travel, tourism and related services supervisors",Unknown,1,1
Nova Scotia                                                                ,High Wage          ,3287893 Nova Scotia Limited,"HALIFAX, NS B3J 0J1",12101-Human resources and recruitment officers,Unknown,1,1
Nova Scotia                                                                ,High Wage          ,3287893 Nova Scotia Limited,"HALIFAX, NS B3J 0J1",12200-Accounting technicians and bookkeepers,Unknown,1,1
Nova Scotia                                                                ,High Wage          ,3331224 Nova Scotia Limited,"Halifax, NS B3M 2N4",62020-Food service supervisors,Unknown,1,2
Nova Scotia                                                                ,High Wage          ,3335367 Nova Scotia Limited,"Bedford, NS B4A 1C1","11202-Professional occupations in advertising, marketing and public relations",Unknown,1,1
Nova Scotia                                                                ,High Wage          ,4343629 NOVA SCOTIA LTD.,"RESERVE MINES, NS B1E 1K2",62010-Retail sales supervisors,Unknown,1,1
Nova Scotia                                                                ,High Wage          ,4411002 NOVA SCOTIA LIMITED,"Halifax, NS B3J 1K1",63210-Hairstylists and barbers,Unknown,1,1
Nova Scotia                                                                ,High Wage          ,4466241 Nova Scotia limited,"Upper Tantallon, NS B3Z 4R3","63211-Estheticians, electrologists and related occupations",Unknown,1,3
Nova Scotia                                                                ,High Wage          ,4531826 NOVA SCOTIA LIMITED,"Halifax, NS B3J 3S7",60030-Restaurant and food service managers,Unknown,1,1
Nova Scotia                                                                ,High Wage          ,604 Drywall ltd.,"Halifax, NS B3M 2L8",75110-Construction trades helpers and labourers,Unknown,1,2
Nova Scotia                                                                ,High Wage          ,732925 N.B. Inc.,"Cole Harbour, NS B2V 1E7","63211-Estheticians, electrologists and related occupations",Unknown,1,2
Nova Scotia                                                                ,High Wage          ,AGKS Transport Inc.,"Bedford, NS B4A 0G5",73300-Transport truck drivers,Unknown,1,1
Nova Scotia                                                                ,High Wage          ,Avondale Construction Limited,"Halifax, NS B3S 0E4",70010-Construction managers,Unknown,1,1
Nova Scotia                                                                ,High Wage          ,Bajwa Hauling Inc,"Truro, NS B2N 6T2","12013-Supervisors, supply chain, tracking and scheduling coordination occupations",Unknown,1,1
Nova Scotia                                                                ,High Wage          ,Bruce Automotive Yarmouth Inc.,"Yarmouth, NS B5A 5J7","72410-Automotive service technicians, truck and bus mechanics and mechanical repairers",Unknown,1,1
Nova Scotia                                                                ,High Wage          ,Bruce M-K Limited,"Kentville, NS B4N 3V7","72410-Automotive service technicians, truck and bus mechanics and mechanical repairers",Unknown,1,2
Nova Scotia                                                                ,High Wage          ,BTTC (Canada) Incorporated,"Halifax, NS B3J 3R7",11201-Professional occupations in business management consulting,Unknown,2,2
Nova Scotia                                                                ,High Wage          ,Catcher Logistics Inc.,"Sydney, NS B1P 1C4",13100-Administrative officers,Unknown,1,1
Nova Scotia                                                                ,High Wage          ,Chalice Canada,"Bedford, NS B4A 2B5",11200-Human resources professionals,Unknown,1,1
Nova Scotia                                                                ,High Wage          ,Chester Service Centre Limited,"Chester, NS B0J 1J0",12200-Accounting technicians and bookkeepers,Unknown,1,1
Nova Scotia                                                                ,High Wage          ,China King Family Restaurant Ltd.,"Port Hawkesbury, NS B9A 2S4",63200-Cooks,Unknown,1,1
Nova Scotia                                                                ,High Wage          ,Dalhousie University,"Halifax, NS B3H 4R2",41200-University professors and lecturers,Unknown,1,1
Nova Scotia                                                                ,High Wage          ,Genpact Canada Services Company,"Halifax, NS B3J 3R7",22221-User support technicians,Corporation,1,1
Nova Scotia                                                                ,High Wage          ,IWK Health Centre,"Halifax, NS B3K 6R8",32122-Medical sonographers,Unknown,1,1
Nova Scotia                                                                ,High Wage          ,KorrAI Technologies Ltd.,"Halifax, NS B3K 4C5",21231-Software engineers and designers,Unknown,1,2
Nova Scotia                                                                ,High Wage          ,Let�s Ko Restaurant Inc,"BEDFORD, NS B4A 0C1",63200-Cooks,Unknown,1,2
Nova Scotia                                                                ,High Wage          ,MacDonell�s Small Jobs Ltd,"Barrington Passage, NS B0W 1G0",72310-Carpenters,Unknown,1,6
Nova Scotia                                                                ,High Wage          ,Metro Roofing Ltd.,"Dartmouth, NS B2Y 4K3",60010-Corporate sales managers,Unknown,1,1
Nova Scotia                                                                ,High Wage          ,Nanash Paint Limited,"Halifax, NS B3M 3M9",73112-Painters and decorators (except interior decorators),Unknown,1,1
Nova Scotia                                                                ,High Wage          ,New Dawn Enterprises Limited,"Sydney, NS B1P 6A7",12100-Executive assistants,Unknown,1,1
Nova Scotia                                                                ,High Wage          ,Omega Formwork Inc.,"Mount Uniacke, NS B0N 1Z0",75110-Construction trades helpers and labourers,Unknown,1,1
Nova Scotia                                                                ,High Wage          ,Pet Focus Veterinary Group Inc.,"Dartmouth, NS B2W 2N3",32104-Animal health technologists and veterinary technicians,Unknown,1,1
Nova Scotia                                                                ,High Wage          ,Pleasant Street Real Estate Incorporated,"Halifax, NS B3J 2A2",13100-Administrative officers,Unknown,1,1
Nova Scotia                                                                ,High Wage          ,SKYLAND CONSTRUCTIONS LTD.,"Middle Sackville, NS B4E 3A2",73112-Painters and decorators (except interior decorators),Unknown,1,3
Nova Scotia                                                                ,High Wage          ,SKYLAND CONSTRUCTIONS LTD.,"Middle Sackville, NS B4E 3A2",75110-Construction trades helpers and labourers,Unknown,1,3
Nova Scotia                                                                ,High Wage          ,Sobeys Capital Incorpor�e,"Stellarton, NS B0K 1S0",62101-Retail and wholesale buyers,Unknown,1,1
Nova Scotia                                                                ,High Wage          ,SUNLIFE ELECTRICAL LTD,"Waverley, NS B2R 1E2",75110-Construction trades helpers and labourers,Unknown,1,2
Nova Scotia                                                                ,High Wage          ,T & K HAIR SALON INC.,"Halifax, NS B3K 1N9","63211-Estheticians, electrologists and related occupations",Unknown,1,1
Nova Scotia                                                                ,High Wage          ,Trebley Warehousing Ltd.,"Dartmouth, NS B3B 1H7",14404-Dispatchers,Unknown,1,1
Nova Scotia                                                                ,High Wage          ,Two Men and a Truck,"Dartmouth, NS B3B 1P4",73300-Transport truck drivers,Unknown,1,1
Nova Scotia                                                                ,High Wage          ,Xeneration Inc,"Middle Sackville, NS B4E 0T4",13110-Administrative assistants,Unknown,1,1
Nova Scotia                                                                ,Low Wage            ,12909839 Canada Inc.,"L'Ardoise, NS B0E 1W0",94142-Fish and seafood plant workers,Unknown,1,20
Nova Scotia                                                                ,Low Wage            ,12914158 Canada Inc.,"Dartmouth, NS B3B 1E5",73300-Transport truck drivers,Unknown,1,1
Nova Scotia                                                                ,Low Wage            ,15684421 Canada Inc,"Dartmouth, NS B2Y 4B1",63200-Cooks,Unknown,2,8
Nova Scotia                                                                ,Low Wage            ,2347758 Nova Scotia Limited,"Beechville, NS B3T 1A7","94219-Other products assemblers, finishers and inspectors",Unknown,1,2
Nova Scotia                                                                ,Low Wage            ,3274876 Nova Scotia Ltd,"Clarks Harbour, NS B0W 1P0",94142-Fish and seafood plant workers,Unknown,1,25
Nova Scotia                                                                ,Low Wage            ,3311543 Nova Scotia Limited,"Halifax, NS B3L 1A4",62010-Retail sales supervisors,Unknown,1,1
Nova Scotia                                                                ,Low Wage            ,4347646 Nova Scotia Limited,"Dartmouth, NS B3A 1J7",65310-Light duty cleaners,Unknown,1,1
Nova Scotia                                                                ,Low Wage            ,4429896 NOVA SCOTIA LIMITED,"Halifax, NS B3N 2K3",65310-Light duty cleaners,Unknown,1,1
Nova Scotia                                                                ,Low Wage            ,A Bite of Asia Inc.,"Sydney, NS B1P 5Z1",62020-Food service supervisors,Unknown,1,1
Nova Scotia                                                                ,Low Wage            ,Adcor Marketing Limited,"yarmouth, NS B5A 2T6",62020-Food service supervisors,Unknown,4,5
Nova Scotia                                                                ,Low Wage            ,Adcor Marketing Limited,"yarmouth, NS B5A 2T6","65201-Food counter attendants, kitchen helpers and related support occupations",Unknown,2,9
Nova Scotia                                                                ,Low Wage            ,Atlantic George Limited,"Halifax, NS B3M 2K7",73200-Residential and commercial installers and servicers,Unknown,1,1
Nova Scotia                                                                ,Low Wage            ,BMC Seafoods Limited,"Meteghan, NS B0W 2J0",95107-Labourers in fish and seafood processing,Unknown,1,10
Nova Scotia                                                                ,Low Wage            ,Brothers Meat Ltd,"Halifax, NS B3K 4C7",95106-Labourers in food and beverage processing,Unknown,1,1
Nova Scotia                                                                ,Low Wage            ,"Cabot Links at Inverness, Limited Partnership","Inverness, NS B0E 1N0",65310-Light duty cleaners,Unknown,1,5
Nova Scotia                                                                ,Low Wage            ,Captain Atlantic International Trade Co. Ltd.,"Shag Harbour,, NS B0W 3B0",94142-Fish and seafood plant workers,Unknown,1,3
Nova Scotia                                                                ,Low Wage            ,Clark's Harbour Seafood Limited,"Clarks Harbour, NS B0W 1P0",94142-Fish and seafood plant workers,Unknown,1,60
Nova Scotia                                                                ,Low Wage            ,Cumberland Senior Corporation,"Pugwash, NS B0K 1L0","33102-Nurse aides, orderlies and patient service associates",Unknown,2,3
Nova Scotia                                                                ,Low Wage            ,D.B. Kenney Fisheries (2014) Ltd,"Westport, NS B0V 1H0",94142-Fish and seafood plant workers,Unknown,1,1
Nova Scotia                                                                ,Low Wage            ,D2D Restaurant Inc,"Truro, NS B2N 1G7",62020-Food service supervisors,Unknown,1,2
Nova Scotia                                                                ,Low Wage            ,Discount Trucking & Construction Ltd,"Upper Hammonds Plains, NS B4B 0J3",13110-Administrative assistants,Unknown,1,1
Nova Scotia                                                                ,Low Wage            ,EPC Industries Limited,"Amherst, NS B4H 4S7",95104-Labourers in rubber and plastic products manufacturing,Unknown,1,10
Nova Scotia                                                                ,Low Wage            ,Fox Harb'r Development,"Fox Harbour, NS B0K 1Y0",63200-Cooks,Unknown,1,2
Nova Scotia                                                                ,Low Wage            ,Fox Harb'r Development,"Fox Harbour, NS B0K 1Y0",65200-Food and beverage servers,Unknown,1,3
Nova Scotia                                                                ,Low Wage            ,Fox Harb'r Development,"Fox Harbour, NS B0K 1Y0","65201-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,3
Nova Scotia                                                                ,Low Wage            ,Fox Harb'r Development,"Fox Harbour, NS B0K 1Y0",65310-Light duty cleaners,Unknown,1,3
Nova Scotia                                                                ,Low Wage            ,Fox Harb'r Development,"Fox Harbour, NS B0K 1Y0",85121-Landscaping and grounds maintenance labourers,Unknown,1,3
Nova Scotia                                                                ,Low Wage            ,G.B.J. FOOD SERVICES LIMITED,"New Glasgow, NS B2H 2J8","65201-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,1
Nova Scotia                                                                ,Low Wage            ,GEM Health Care Group,"Halifax, NS B3P 2R3","33102-Nurse aides, orderlies and patient service associates",Unknown,2,16
Nova Scotia                                                                ,Low Wage            ,HARVEST BAYERS LAKE DRP INC.,"Halifax, NS B3S 1C7",63200-Cooks,Unknown,1,1
Nova Scotia                                                                ,Low Wage            ,J.M.P Sayles Holdings Inc.,"Windsor, NS B0N 2T0",62020-Food service supervisors,Unknown,1,4
Nova Scotia                                                                ,Low Wage            ,Jerry's RV Trailer Sales & Service Ltd.,"New Minas, NS B4N 3E9",65311-Specialized cleaners,Unknown,1,1
Nova Scotia                                                                ,Low Wage            ,JOLCAR Security Services Inc.,"Timberlea, NS B3T 0C7",64410-Security guards and related security service occupations,Unknown,1,1
Nova Scotia                                                                ,Low Wage            ,NEW INFINITY CLEANING SERVICES LTD.,"HALIFAX, NS B3R 1Y8",65310-Light duty cleaners,Unknown,1,1
Nova Scotia                                                                ,Low Wage            ,Ocean Pride Fisheries Ltd.,"Lower Wedgeport, NS B0W 2B0",95107-Labourers in fish and seafood processing,Unknown,1,25
Nova Scotia                                                                ,Low Wage            ,Pecheries Cheticamp Fisheries Intl. (2016) Ltd,"Cheticamp, NS B0E 1H0",95107-Labourers in fish and seafood processing,Unknown,1,107
Nova Scotia                                                                ,Low Wage            ,Poirier Fish Limited,"Cheticamp, NS B0E 1H0",95107-Labourers in fish and seafood processing,Unknown,1,6
Nova Scotia                                                                ,Low Wage            ,R. Baker Fisheries Limited.,"Lockeport, NS B0T 1L0",94142-Fish and seafood plant workers,Unknown,1,3
Nova Scotia                                                                ,Low Wage            ,Richmond Housing Corporation,"St Peters, NS B0E 3B0","33102-Nurse aides, orderlies and patient service associates",Unknown,1,2
Nova Scotia                                                                ,Low Wage            ,Sobeys Capital Incorpor�e,"Stellarton, NS B0K 1S0",62010-Retail sales supervisors,Unknown,6,6
Nova Scotia                                                                ,Low Wage            ,Sobeys Capital Incorpor�e,"Stellarton, NS B0K 1S0",63201-Butchers - retail and wholesale,Unknown,7,8
Nova Scotia                                                                ,Low Wage            ,Sobeys Capital Incorpor�e,"Stellarton, NS B0K 1S0","65102-Store shelf stockers, clerks and order fillers",Unknown,5,12
Nova Scotia                                                                ,Low Wage            ,SOI Trade Inc.,"Mount Uniacke, NS B0N 1Z0",75110-Construction trades helpers and labourers,Unknown,1,1
